parent_top,subcategory,count_in_parent,description
Escalation Protocol Error,Step Sequencing,8,"Performs required transfer steps in the wrong order or leaves intermediate steps incomplete, excluding initiation, routing, and messaging defects."
Escalation Protocol Error,Handoff Communication,6,"Omits, misstates, or formats required user-facing or internal handoff messages incorrectly during or after transfer."
Escalation Protocol Error,Transfer Initiation,6,Recognizes or is told escalation is required but does not trigger the required transfer or escalation action.
Authentication Handling Error,Authentication Flow Sequencing,7,"Agent uses the wrong authentication method, verification step, retry policy, or sequence when coordinating an authentication workflow."
Authentication Handling Error,Credential Fabrication,2,"Agent invents, guesses, or substitutes credentials, tokens, verification codes, or authentication values not provided by observations, tools, or the user."
Authentication Handling Error,Authentication Value Application,18,"Agent has required authentication values but omits, corrupts, misformats, or places them in wrong fields, headers, or tool arguments."
Authentication Handling Error,Authentication State Reading,5,"Agent misreads observed credentials, account identity, authentication status, or permission details, causing incorrect interpretation or selection."
Authentication Handling Error,Credential Acquisition,1,"Agent fails to ask for, retrieve, or refresh missing authentication material before attempting a protected action."
Escalation Timing Error,Roaming Eligibility Assessment,5,"Agent escalates before verifying roaming status, eligibility, configuration, diagnosis, or applying an available roaming fix."
Escalation Timing Error,Task Ownership,11,"Agent escalates clearly in-scope, handleable work instead of completing it, when no more specific missed decision, diagnostic, or verification step dominates."
Escalation Timing Error,Hard to Analyze,5,"Available information lacks a specific missed step, skill, or decision context beyond premature, unnecessary, or inappropriate escalation."
Escalation Timing Error,Permission Verification,4,Agent escalates before checking or correcting relevant application or device permissions needed for the reported issue.
Escalation Timing Error,Diagnostic Workflow Completion,15,"Agent escalates before starting, sequencing, completing, exhausting, or validating diagnostics when no specific omitted check is identifiable."
Escalation Timing Error,Connectivity Baseline Checks,7,"Agent escalates before checking device, line, signal, speed, Wi-Fi calling, or general connectivity, excluding network profile repair."
Escalation Timing Error,Data Limit Assessment,10,"Agent escalates before checking or resolving data limits, caps, usage, account data status, refuel effects, or related restrictions."
Escalation Timing Error,Messaging Service Diagnosis,6,"Agent escalates before completing SMS/MMS service checks or messaging remediation, excluding explicit network profile or APN repair."
Escalation Timing Error,Resolution Verification,1,"Agent transfers after a fix or attempted resolution without confirming success, retesting, or completing closure verification."
Escalation Timing Error,Account State Investigation,3,"Agent transfers before investigating or resolving backend account state, excluding data limits, roaming eligibility, authentication, and explicit service requests."
Escalation Timing Error,Authentication Recovery,2,"Agent escalates after authentication failure instead of pursuing permitted retry, recovery, alternate verification, or next verification step."
Escalation Timing Error,Network Configuration Repair,2,"Agent transfers before applying explicitly indicated APN, network profile, or equivalent configuration repair, excluding broader diagnostics."
Escalation Timing Error,Handoff Path Validation,3,"Agent suggests, starts, or diverts to an unsupported, irrelevant, unavailable, or unexecuted escalation path."
Escalation Timing Error,Policy Application,3,"Agent escalates instead of applying a clear policy, communicating an allowed denial, approval, or final outcome."
Unauthorized Action Execution,Communication Boundary Breach,8,"Sends notifications or messages that are disallowed, unrequested, addressed to ineligible recipients, or sent to more recipients than authorized."
Unauthorized Action Execution,Policy Violation,9,"Executes actions explicitly prohibited, unsupported, ineligible, or workaround-based despite governing rules or policy constraints."
Unauthorized Action Execution,Prerequisite Check Bypass,12,"Takes irreversible or backend actions before required user confirmation, authorization, eligibility validation, rebooking validation, or troubleshooting completion."
Unauthorized Action Execution,Unrelated State Mutation,10,"Performs unrelated persistent mutations, excluding duplicate, over-scoped, communication, workspace, policy, or prerequisite-bypass actions."
Unauthorized Action Execution,Entity Scope Overreach,6,"Applies data operations too broadly, recursively, or to untargeted entities, excluding communication and workspace boundary cases handled separately."
Unauthorized Action Execution,Workspace Boundary Breach,9,"Creates, modifies, or deletes tests, files, directories, or artifacts outside the allowed code or workspace change set."
Unauthorized Action Execution,Idempotency Violation,5,"Repeats an operation or creates duplicate records when the task required a single execution, retry avoidance, or preserving an existing transaction."
Remediation Omission,Entitlement Correction,6,"Omits enabling, activating, or correcting an account-level entitlement required to restore a service capability."
Remediation Omission,Service Activation,7,Omits activating or restoring general service access when the needed remediation lever is not otherwise specified.
Remediation Omission,Quota Replenishment,18,"Omits replenishing, lifting, resetting, or adjusting an exhausted quota, cap, limit, allowance, or usage threshold."
Remediation Omission,Configuration Correction,5,"Omits changing an incorrect or disabled setting, flag, preference, or configuration causing the failure."
Remediation Omission,Diagnosis Follow-through,6,Diagnoses the cause but omits the concrete corrective action when the required action type is unspecified.
Remediation Omission,External Provisioning,4,"Omits carrier, vendor, backend, or service-side provisioning required before the capability can work."
Remediation Omission,Patch Application,6,"Omits applying a required code, source, system, or platform patch after identifying the need."
Remediation Omission,Permission Granting,1,"Omits granting, restoring, or correcting required authorization, role, consent, credential, or access permission."
Remediation Omission,Payment Block Removal,3,"Omits balance, billing, funding, or payment action needed to clear a payment-related block."
Remediation Omission,Workflow Completion,1,Starts a known multi-step fix but stops before completing later steps; use when premature stopping is the main failure.
Remediation Omission,State Record Update,2,"Omits required state, status, database, record, or rollback update that is not a configuration change."
Quantitative Reasoning Error,Cost Comparison,7,"Misorders or selects the wrong option when comparing prices, fares, fees, or total costs."
Quantitative Reasoning Error,Numeric Extraction,2,"Uses an incorrect stated number as input, such as a price, balance, quantity, or timestamp."
Quantitative Reasoning Error,Count Aggregation,9,"Miscounts discrete items or totals during enumeration, filtering, or availability checks."
Quantitative Reasoning Error,Quantity Scaling,4,"Applies multipliers, per-person rates, baggage counts, or repeated quantities incorrectly."
Quantitative Reasoning Error,Payment Allocation,6,"Splits, assigns, or nets payments incorrectly across people, cards, accounts, or stated preferences."
Quantitative Reasoning Error,Time-Window Reasoning,2,"Misapplies deadlines, elapsed-time limits, or eligibility windows for cancellations, refunds, booking, or actions."
Quantitative Reasoning Error,Amount Reconciliation,8,"Computes remaining balances, refunds, credits, fare differences, or return amounts incorrectly after transactions or changes."
Quantitative Reasoning Error,Time Optimization,4,"Miscalculates durations or misranks alternatives when choosing fastest, earliest, latest, or time-minimizing options."
Quantitative Reasoning Error,Other,1,
